km,Paparoa,Kaukau,TotaraFlats,MtVic,TongariroCrossing,GreytownMartinborough,Greytown,RemutakaRailTrail,ColonialKnob,WLGKapiti,PaekakarikiEscarpment,LakeWaikaremoana,HeaphyTrack,RouteburnTrack,TongariroNorthernCircuit,KeplerTrack,MilfordTrack,RakiuraTrack,BlueHut
27.4,963.1,,,,,,,,,4,,606,692,793,1578,552,1069,11,
27.5,963.7,,,,,,,,,-4,,602,684,782,1550,533,1075,29,
27.6,959.1,,,,,,,,,-5,,609,677,775,1522,522,1077,45,
27.7,968.6,,,,,,,,,-4,,627,678,769,1501,501,1083,44,
27.8,976.8,,,,,,,,,-3,,649,676,757,1465,494,1121,40,
27.9,984,,,,,,,,,-3,,663,674,740,1444,479,1123,47,
28,987.9,,,,,,,,,-3,,658,674,733,1425,478,1118,35,
28.1,974.3,,,,,,,,,-3,,643,687,722,1389,484,1113,21,
28.2,970.1,,,,,,,,,-5,,636,684,723,1376,487,1095,20,
28.3,959.4,,,,,,,,,-6,,610,699,714,1369,505,1093,21,
28.4,952.4,,,,,,,,,-5,,609,698,723,1357,511,1100,16,
28.5,952.7,,,,,,,,,-5,,614,703,715,1351,511,1089,11,
28.6,950.5,,,,,,,,,-4,,624,719,702,1347,506,1070,11,
28.7,950.5,,,,,,,,,-3,,623,707,691,1346,507,1068,13,
28.8,946.7,,,,,,,,,-3,,639,713,717,1345,498,1053,26,
28.9,934.6,,,,,,,,,-3,,622,723,720,1340,497,1050,19,
29,923.4,,,,,,,,,-4,,605,732,722,1334,494,1007,24,
29.1,914.7,,,,,,,,,-4,,603,735,752,1329,496,991,31,
29.2,913.9,,,,,,,,,-4,,586,733,768,1325,476,979,37,
29.3,909.2,,,,,,,,,-4,,609,728,782,1323,464,961,40,
29.4,900.1,,,,,,,,,-1,,606,724,804,1320,443,940,42,
29.5,894.1,,,,,,,,,3,,608,725,810,1310,439,935,39,
29.6,886.8,,,,,,,,,-2,,607,732,800,1303,432,911,32,
29.7,888.9,,,,,,,,,-1,,604,737,781,1302,420,902,31,
29.8,897.1,,,,,,,,,-1,,596,742,777,1296,415,913,35,
29.9,895.1,,,,,,,,,-1,,594,756,759,1284,425,932,36,
30,899.4,,,,,,,,,-5,,610,748,752,1270,419,907,33,
30.1,904.1,,,,,,,,,-5,,592,759,739,1261,415,872,34,
30.2,903,,,,,,,,,-4,,605,769,723,1259,413,867,38,
30.3,902.9,,,,,,,,,-4,,605,774,706,1237,411,852,45,
30.4,899.6,,,,,,,,,-3,,616,779,686,1215,414,845,33,
30.5,904.9,,,,,,,,,-3,,614,788,686,1202,410,842,26,
30.6,907.6,,,,,,,,,2,,610,802,663,1201,405,828,13,
30.7,904.8,,,,,,,,,7,,594,795,660,1207,401,815,16,
30.8,905.1,,,,,,,,,17,,598,798,634,1202,399,801,30,
30.9,909.6,,,,,,,,,25,,604,814,614,1200,397,781,25,
31,888.8,,,,,,,,,32,,611,809,606,1193,395,760,19,
31.1,911.3,,,,,,,,,37,,602,811,600,1187,395,742,28,
31.2,910,,,,,,,,,,,606,795,575,1185,392,727,25,
31.3,901.7,,,,,,,,,,,610,791,564,1181,388,716,30,
31.4,895.1,,,,,,,,,,,602,797,572,1176,403,689,25,
31.5,883.9,,,,,,,,,,,614,801,553,1178,400,650,19,
31.6,871.7,,,,,,,,,,,610,805,542,1176,392,619,23,
31.7,856.8,,,,,,,,,,,606,801,549,1166,395,600,36,
31.8,849.8,,,,,,,,,,,605,796,546,1164,395,593,40,
31.9,835.9,,,,,,,,,,,614,794,552,1177,392,579,50,
32,828,,,,,,,,,,,605,790,542,1174,388,561,54,
32.1,817.7,,,,,,,,,,,596,790,,1165,389,554,59,
32.2,806.9,,,,,,,,,,,618,788,,1156,388,540,64,
32.3,799.1,,,,,,,,,,,628,774,,1154,386,536,70,
32.4,789.7,,,,,,,,,,,657,769,,1145,385,522,76,
32.5,781.3,,,,,,,,,,,667,769,,1142,382,513,83,
32.6,766.4,,,,,,,,,,,682,773,,1138,378,487,89,
32.7,785.1,,,,,,,,,,,686,760,,1132,377,476,90,
32.8,771.5,,,,,,,,,,,695,761,,1129,376,471,86,
32.9,753.9,,,,,,,,,,,703,759,,1122,364,444,82,
33,755.4,,,,,,,,,,,701,756,,1116,357,424,92,
33.1,741.8,,,,,,,,,,,699,757,,1111,360,413,91,
33.2,737.2,,,,,,,,,,,674,757,,1102,366,404,100,
33.3,725,,,,,,,,,,,649,759,,1089,358,388,101,
33.4,712.2,,,,,,,,,,,648,771,,1085,360,346,99,
33.5,705.2,,,,,,,,,,,639,781,,1082,358,306,102,
33.6,695,,,,,,,,,,,608,781,,1081,354,274,99,
33.7,694.9,,,,,,,,,,,605,788,,1078,348,247,102,
33.8,691.9,,,,,,,,,,,599,782,,1076,346,236,106,
33.9,686.3,,,,,,,,,,,613,781,,1077,339,214,107,
34,676.1,,,,,,,,,,,602,763,,1084,335,207,89,
34.1,667.3,,,,,,,,,,,601,764,,1096,324,216,89,
34.2,663.2,,,,,,,,,,,586,762,,1099,317,209,79,
34.3,649,,,,,,,,,,,611,758,,1105,319,211,75,
34.4,643.7,,,,,,,,,,,620,757,,1118,332,198,62,
34.5,638.7,,,,,,,,,,,614,760,,1124,324,202,61,
34.6,633.2,,,,,,,,,,,607,754,,1138,325,203,54,
34.7,632.7,,,,,,,,,,,605,745,,1141,330,212,50,
34.8,627,,,,,,,,,,,605,745,,1147,319,236,47,
34.9,622.9,,,,,,,,,,,614,744,,1151,325,259,35,
35,639.9,,,,,,,,,,,608,734,,1150,319,278,31,
35.1,638.5,,,,,,,,,,,604,732,,1149,315,301,32,
35.2,652.1,,,,,,,,,,,611,733,,1147,311,293,30,
35.3,661.2,,,,,,,,,,,597,735,,1142,313,294,20,
35.4,664.1,,,,,,,,,,,604,736,,1133,317,293,17,
35.5,670.1,,,,,,,,,,,605,733,,1133,311,336,17,
35.6,670,,,,,,,,,,,601,730,,1135,312,585,21,
35.7,656.6,,,,,,,,,,,608,726,,1130,311,993,24,
35.8,657.7,,,,,,,,,,,598,727,,1132,311,1196,30,
35.9,647.5,,,,,,,,,,,605,739,,1128,311,1207,32,
36,649.4,,,,,,,,,,,601,734,,1130,301,1209,27,
36.1,646.7,,,,,,,,,,,606,733,,1135,287,1203,24,
36.2,634.6,,,,,,,,,,,602,733,,1135,275,1207,26,
36.3,625,,,,,,,,,,,604,734,,1132,278,1198,22,
36.4,617.1,,,,,,,,,,,598,731,,1121,300,1184,17,
36.5,620.6,,,,,,,,,,,610,731,,1122,310,896,8,
36.6,617.7,,,,,,,,,,,613,724,,1131,327,393,12,
36.7,602,,,,,,,,,,,599,718,,1139,338,281,,
36.8,597.3,,,,,,,,,,,601,703,,1156,334,294,,
36.9,602.6,,,,,,,,,,,597,701,,1149,329,293,,
37,611.6,,,,,,,,,,,605,700,,1146,315,295,,
37.1,613.3,,,,,,,,,,,613,697,,1145,310,279,,
37.2,621.2,,,,,,,,,,,622,696,,1143,316,277,,
37.3,619.9,,,,,,,,,,,619,702,,1136,330,259,,
37.4,612.3,,,,,,,,,,,616,700,,1126,324,236,,
37.5,615.1,,,,,,,,,,,594,697,,1122,328,217,,
37.6,612.2,,,,,,,,,,,635,698,,1122,308,203,,
37.7,602.7,,,,,,,,,,,693,689,,1122,293,202,,
37.8,594.2,,,,,,,,,,,706,686,,1114,270,198,,
37.9,581.5,,,,,,,,,,,705,677,,1103,255,207,,
38,576.4,,,,,,,,,,,723,675,,1108,259,208,,
38.1,556.7,,,,,,,,,,,693,675,,1102,257,216,,
38.2,546.4,,,,,,,,,,,675,670,,1103,248,207,,
38.3,538.2,,,,,,,,,,,613,660,,1105,253,209,,
38.4,526.7,,,,,,,,,,,622,664,,1111,242,211,,
38.5,527.6,,,,,,,,,,,614,668,,1120,239,216,,
38.6,504.5,,,,,,,,,,,614,664,,1125,234,213,,
38.7,490.9,,,,,,,,,,,607,659,,1125,235,209,,
38.8,477.5,,,,,,,,,,,613,658,,1129,242,207,,
38.9,477.3,,,,,,,,,,,586,643,,1136,232,202,,
39,477.5,,,,,,,,,,,586,641,,,223,213,,
39.1,464.2,,,,,,,,,,,601,638,,,226,228,,
39.2,464.2,,,,,,,,,,,603,637,,,231,215,,
39.3,472.8,,,,,,,,,,,616,627,,,230,204,,
39.4,480,,,,,,,,,,,603,627,,,214,205,,
39.5,496,,,,,,,,,,,601,622,,,217,206,,
39.6,509.9,,,,,,,,,,,597,615,,,218,195,,
39.7,517.8,,,,,,,,,,,598,607,,,218,180,,
39.8,502.1,,,,,,,,,,,602,605,,,213,157,,
39.9,517,,,,,,,,,,,602,599,,,214,144,,
40,508.8,,,,,,,,,,,605,594,,,205,129,,
40.1,494.5,,,,,,,,,,,602,590,,,210,115,,
40.2,485.7,,,,,,,,,,,602,586,,,200,99,,
40.3,473.6,,,,,,,,,,,601,576,,,205,103,,
40.4,456.8,,,,,,,,,,,611,577,,,215,99,,
40.5,450.9,,,,,,,,,,,612,571,,,216,90,,
40.6,448.4,,,,,,,,,,,602,555,,,210,91,,
40.7,438,,,,,,,,,,,,556,,,211,87,,
40.8,429.3,,,,,,,,,,,,551,,,208,83,,
40.9,422.5,,,,,,,,,,,,541,,,208,89,,
41,420.7,,,,,,,,,,,,536,,,208,91,,
41.1,422.7,,,,,,,,,,,,529,,,211,85,,
41.2,412.8,,,,,,,,,,,,519,,,210,90,,
41.3,421.8,,,,,,,,,,,,516,,,216,82,,
41.4,409.9,,,,,,,,,,,,504,,,215,99,,
41.5,404.1,,,,,,,,,,,,494,,,199,98,,
41.6,390.4,,,,,,,,,,,,491,,,200,105,,
41.7,387.6,,,,,,,,,,,,488,,,206,108,,
41.8,375.8,,,,,,,,,,,,475,,,205,113,,
41.9,365.9,,,,,,,,,,,,470,,,214,108,,
42,350.7,,,,,,,,,,,,458,,,210,112,,
42.1,343.2,,,,,,,,,,,,451,,,206,119,,
42.2,335.9,,,,,,,,,,,,447,,,200,115,,
42.3,318,,,,,,,,,,,,441,,,199,105,,
42.4,306.4,,,,,,,,,,,,435,,,205,102,,
42.5,297.3,,,,,,,,,,,,430,,,217,101,,
42.6,287.3,,,,,,,,,,,,418,,,215,102,,
42.7,276.1,,,,,,,,,,,,415,,,211,98,,
42.8,267.9,,,,,,,,,,,,413,,,208,79,,
42.9,256.5,,,,,,,,,,,,395,,,208,81,,
43,243.2,,,,,,,,,,,,383,,,209,72,,
43.1,237.7,,,,,,,,,,,,377,,,207,66,,
43.2,225,,,,,,,,,,,,371,,,209,80,,
43.3,213.3,,,,,,,,,,,,365,,,208,73,,
43.4,208.1,,,,,,,,,,,,367,,,208,75,,
43.5,194.3,,,,,,,,,,,,349,,,210,70,,
43.6,187,,,,,,,,,,,,358,,,207,68,,
43.7,177.5,,,,,,,,,,,,340,,,208,72,,
43.8,157,,,,,,,,,,,,335,,,211,69,,
43.9,156.3,,,,,,,,,,,,321,,,200,71,,
44,150.9,,,,,,,,,,,,327,,,200,71,,
44.1,160.4,,,,,,,,,,,,326,,,199,64,,
44.2,157.6,,,,,,,,,,,,309,,,193,68,,
44.3,153.3,,,,,,,,,,,,295,,,191,70,,
44.4,150.1,,,,,,,,,,,,288,,,198,69,,
44.5,154.1,,,,,,,,,,,,292,,,201,79,,
44.6,142.6,,,,,,,,,,,,275,,,196,75,,
44.7,143.2,,,,,,,,,,,,279,,,195,69,,
44.8,156.6,,,,,,,,,,,,261,,,195,69,,
44.9,149.1,,,,,,,,,,,,249,,,196,68,,
45,149.6,,,,,,,,,,,,251,,,201,74,,
45.1,143.6,,,,,,,,,,,,250,,,202,82,,
45.2,152.9,,,,,,,,,,,,249,,,199,74,,
45.3,165,,,,,,,,,,,,234,,,199,80,,
45.4,159.8,,,,,,,,,,,,223,,,199,73,,
45.5,152.7,,,,,,,,,,,,218,,,200,83,,
45.6,155.9,,,,,,,,,,,,211,,,199,77,,
45.7,155.7,,,,,,,,,,,,213,,,211,79,,
45.8,143.3,,,,,,,,,,,,196,,,215,77,,
45.9,142.6,,,,,,,,,,,,201,,,216,71,,
46,139.5,,,,,,,,,,,,206,,,218,78,,
46.1,142.6,,,,,,,,,,,,204,,,220,83,,
46.2,143.7,,,,,,,,,,,,199,,,220,82,,
46.3,142.7,,,,,,,,,,,,201,,,219,86,,
46.4,148.9,,,,,,,,,,,,201,,,213,86,,
46.5,157,,,,,,,,,,,,162,,,211,80,,
46.6,153.8,,,,,,,,,,,,171,,,213,84,,
46.7,151.3,,,,,,,,,,,,162,,,211,75,,
46.8,147.4,,,,,,,,,,,,148,,,209,69,,
46.9,153.8,,,,,,,,,,,,139,,,208,64,,
47,159.3,,,,,,,,,,,,135,,,207,70,,
47.1,161.8,,,,,,,,,,,,121,,,216,80,,
47.2,154,,,,,,,,,,,,101,,,214,83,,
47.3,152.5,,,,,,,,,,,,96,,,220,61,,
47.4,149.8,,,,,,,,,,,,104,,,225,59,,
47.5,142.9,,,,,,,,,,,,97,,,228,59,,
47.6,141.6,,,,,,,,,,,,83,,,225,58,,
47.7,130.3,,,,,,,,,,,,76,,,230,62,,
47.8,122,,,,,,,,,,,,62,,,226,74,,
47.9,120.8,,,,,,,,,,,,53,,,222,75,,
48,117.1,,,,,,,,,,,,52,,,226,75,,
48.1,108.6,,,,,,,,,,,,45,,,231,79,,
48.2,105.7,,,,,,,,,,,,20,,,231,72,,
48.3,112.3,,,,,,,,,,,,18,,,237,62,,
48.4,106.5,,,,,,,,,,,,17,,,240,68,,
48.5,105.6,,,,,,,,,,,,15,,,242,58,,
48.6,109.3,,,,,,,,,,,,22,,,243,69,,
48.7,109,,,,,,,,,,,,26,,,238,57,,
48.8,103.7,,,,,,,,,,,,25,,,237,59,,
48.9,98.4,,,,,,,,,,,,21,,,239,54,,
49,89.6,,,,,,,,,,,,21,,,236,57,,
49.1,81.6,,,,,,,,,,,,24,,,228,57,,
49.2,79.9,,,,,,,,,,,,23,,,217,56,,
49.3,78.3,,,,,,,,,,,,21,,,207,64,,
49.4,85.3,,,,,,,,,,,,22,,,205,66,,
49.5,80.9,,,,,,,,,,,,16,,,215,63,,
49.6,88.6,,,,,,,,,,,,38,,,216,68,,
49.7,90.4,,,,,,,,,,,,36,,,217,74,,
49.8,89.3,,,,,,,,,,,,66,,,210,65,,
49.9,86.2,,,,,,,,,,,,27,,,219,75,,
50,83.4,,,,,,,,,,,,40,,,221,86,,
50.1,82.2,,,,,,,,,,,,25,,,229,70,,
50.2,83,,,,,,,,,,,,22,,,231,63,,
50.3,75.7,,,,,,,,,,,,21,,,227,79,,
50.4,76,,,,,,,,,,,,30,,,210,76,,
50.5,68.8,,,,,,,,,,,,31,,,222,76,,
50.6,68.6,,,,,,,,,,,,25,,,226,67,,
50.7,70.7,,,,,,,,,,,,28,,,229,65,,
50.8,66.3,,,,,,,,,,,,20,,,223,64,,
50.9,56,,,,,,,,,,,,16,,,220,71,,
51,59.9,,,,,,,,,,,,15,,,230,69,,
51.1,55.2,,,,,,,,,,,,19,,,244,67,,
51.2,42.4,,,,,,,,,,,,21,,,238,63,,
51.3,43.7,,,,,,,,,,,,19,,,234,71,,
51.4,59.7,,,,,,,,,,,,29,,,214,63,,
51.5,57.3,,,,,,,,,,,,28,,,218,68,,
51.6,51.7,,,,,,,,,,,,24,,,217,69,,
51.7,43.1,,,,,,,,,,,,17,,,223,80,,
51.8,39.4,,,,,,,,,,,,16,,,233,88,,
51.9,37.6,,,,,,,,,,,,18,,,227,73,,
52,35.4,,,,,,,,,,,,16,,,227,65,,
52.1,32.4,,,,,,,,,,,,15,,,231,69,,
52.2,29.1,,,,,,,,,,,,15,,,235,81,,
52.3,30.9,,,,,,,,,,,,15,,,228,110,,
52.4,33.7,,,,,,,,,,,,15,,,218,78,,
52.5,33.5,,,,,,,,,,,,13,,,224,80,,
52.6,34,,,,,,,,,,,,14,,,225,79,,
52.7,27.2,,,,,,,,,,,,13,,,226,82,,
52.8,32.6,,,,,,,,,,,,15,,,229,81,,
52.9,34.8,,,,,,,,,,,,11,,,239,75,,
53,32.9,,,,,,,,,,,,8,,,241,85,,
53.1,34.5,,,,,,,,,,,,10,,,224,66,,
53.2,33.4,,,,,,,,,,,,10,,,216,71,,
53.3,54.7,,,,,,,,,,,,15,,,220,73,,
53.4,66.9,,,,,,,,,,,,16,,,221,76,,
53.5,86.3,,,,,,,,,,,,22,,,222,75,,
53.6,78.4,,,,,,,,,,,,27,,,213,76,,
53.7,64.9,,,,,,,,,,,,19,,,212,73,,
53.8,55.7,,,,,,,,,,,,34,,,202,73,,
53.9,41,,,,,,,,,,,,17,,,204,72,,
54,15.4,,,,,,,,,,,,14,,,207,84,,
54.1,27.9,,,,,,,,,,,,15,,,208,71,,
54.2,36.1,,,,,,,,,,,,15,,,211,80,,
54.3,29.8,,,,,,,,,,,,12,,,214,74,,
54.4,33.3,,,,,,,,,,,,9,,,217,69,,
54.5,15.8,,,,,,,,,,,,19,,,216,70,,
54.6,24.1,,,,,,,,,,,,12,,,220,65,,
54.7,26.7,,,,,,,,,,,,29,,,218,70,,
54.8,21.6,,,,,,,,,,,,33,,,217,98,,
54.9,19.4,,,,,,,,,,,,26,,,219,86,,
55,15,,,,,,,,,,,,32,,,221,82,,
55.1,16.5,,,,,,,,,,,,22,,,216,81,,
55.2,7.8,,,,,,,,,,,,17,,,217,72,,
55.3,7.3,,,,,,,,,,,,17,,,215,77,,
55.4,7.4,,,,,,,,,,,,11,,,215,78,,
55.5,9,,,,,,,,,,,,14,,,226,81,,
55.6,6.3,,,,,,,,,,,,8,,,233,72,,
55.7,5.3,,,,,,,,,,,,11,,,238,80,,
55.8,9.7,,,,,,,,,,,,11,,,237,79,,
55.9,13.2,,,,,,,,,,,,14,,,231,82,,
56,6.7,,,,,,,,,,,,14,,,223,76,,
56.1,4.1,,,,,,,,,,,,14,,,228,79,,
56.2,5.8,,,,,,,,,,,,18,,,216,76,,
56.3,6.1,,,,,,,,,,,,21,,,216,68,,
56.4,,,,,,,,,,,,,22,,,220,63,,
56.5,,,,,,,,,,,,,17,,,226,70,,
56.6,,,,,,,,,,,,,18,,,237,92,,
56.7,,,,,,,,,,,,,18,,,235,107,,
56.8,,,,,,,,,,,,,13,,,224,103,,
56.9,,,,,,,,,,,,,14,,,224,88,,
57,,,,,,,,,,,,,12,,,222,74,,
57.1,,,,,,,,,,,,,16,,,218,77,,
57.2,,,,,,,,,,,,,18,,,216,68,,
57.3,,,,,,,,,,,,,16,,,216,63,,
57.4,,,,,,,,,,,,,14,,,219,58,,
57.5,,,,,,,,,,,,,22,,,218,57,,
57.6,,,,,,,,,,,,,21,,,219,60,,
57.7,,,,,,,,,,,,,21,,,222,59,,
57.8,,,,,,,,,,,,,10,,,223,60,,
57.9,,,,,,,,,,,,,14,,,237,64,,
58,,,,,,,,,,,,,13,,,224,71,,
58.1,,,,,,,,,,,,,16,,,233,73,,
58.2,,,,,,,,,,,,,15,,,239,82,,
58.3,,,,,,,,,,,,,17,,,229,184,,
58.4,,,,,,,,,,,,,15,,,228,217,,
58.5,,,,,,,,,,,,,11,,,228,219,,
58.6,,,,,,,,,,,,,14,,,230,194,,
58.7,,,,,,,,,,,,,21,,,236,176,,
58.8,,,,,,,,,,,,,31,,,238,239,,
58.9,,,,,,,,,,,,,15,,,221,125,,
59,,,,,,,,,,,,,10,,,224,98,,
59.1,,,,,,,,,,,,,19,,,225,98,,
59.2,,,,,,,,,,,,,22,,,228,142,,
59.3,,,,,,,,,,,,,17,,,236,121,,
59.4,,,,,,,,,,,,,26,,,231,112,,
59.5,,,,,,,,,,,,,26,,,239,77,,
59.6,,,,,,,,,,,,,19,,,236,,,
59.7,,,,,,,,,,,,,15,,,237,,,
59.8,,,,,,,,,,,,,15,,,233,,,
59.9,,,,,,,,,,,,,4,,,233,,,
60,,,,,,,,,,,,,1,,,228,,,
60.1,,,,,,,,,,,,,10,,,218,,,
60.2,,,,,,,,,,,,,15,,,214,,,
60.3,,,,,,,,,,,,,16,,,214,,,
60.4,,,,,,,,,,,,,14,,,206,,,
60.5,,,,,,,,,,,,,17,,,212,,,
60.6,,,,,,,,,,,,,18,,,213,,,
60.7,,,,,,,,,,,,,16,,,214,,,
60.8,,,,,,,,,,,,,3,,,,,,
60.9,,,,,,,,,,,,,17,,,,,,
61,,,,,,,,,,,,,7,,,,,,
61.1,,,,,,,,,,,,,23,,,,,,
61.2,,,,,,,,,,,,,29,,,,,,
61.3,,,,,,,,,,,,,26,,,,,,
61.4,,,,,,,,,,,,,26,,,,,,
61.5,,,,,,,,,,,,,18,,,,,,
61.6,,,,,,,,,,,,,26,,,,,,
61.7,,,,,,,,,,,,,35,,,,,,
61.8,,,,,,,,,,,,,31,,,,,,
61.9,,,,,,,,,,,,,26,,,,,,
62,,,,,,,,,,,,,24,,,,,,
62.1,,,,,,,,,,,,,21,,,,,,
62.2,,,,,,,,,,,,,25,,,,,,
62.3,,,,,,,,,,,,,18,,,,,,
62.4,,,,,,,,,,,,,20,,,,,,
62.5,,,,,,,,,,,,,21,,,,,,
62.6,,,,,,,,,,,,,24,,,,,,
62.7,,,,,,,,,,,,,27,,,,,,
62.8,,,,,,,,,,,,,26,,,,,,
62.9,,,,,,,,,,,,,30,,,,,,
63,,,,,,,,,,,,,15,,,,,,
63.1,,,,,,,,,,,,,26,,,,,,
63.2,,,,,,,,,,,,,16,,,,,,
63.3,,,,,,,,,,,,,27,,,,,,
63.4,,,,,,,,,,,,,1,,,,,,
63.5,,,,,,,,,,,,,19,,,,,,
63.6,,,,,,,,,,,,,19,,,,,,
63.7,,,,,,,,,,,,,21,,,,,,
63.8,,,,,,,,,,,,,22,,,,,,
63.9,,,,,,,,,,,,,22,,,,,,
64,,,,,,,,,,,,,14,,,,,,
64.1,,,,,,,,,,,,,13,,,,,,
64.2,,,,,,,,,,,,,14,,,,,,
64.3,,,,,,,,,,,,,21,,,,,,
64.4,,,,,,,,,,,,,22,,,,,,
64.5,,,,,,,,,,,,,14,,,,,,
64.6,,,,,,,,,,,,,27,,,,,,
64.7,,,,,,,,,,,,,32,,,,,,
64.8,,,,,,,,,,,,,42,,,,,,
64.9,,,,,,,,,,,,,45,,,,,,
65,,,,,,,,,,,,,35,,,,,,
65.1,,,,,,,,,,,,,31,,,,,,
65.2,,,,,,,,,,,,,36,,,,,,
65.3,,,,,,,,,,,,,57,,,,,,
65.4,,,,,,,,,,,,,36,,,,,,
65.5,,,,,,,,,,,,,40,,,,,,
65.6,,,,,,,,,,,,,30,,,,,,
65.7,,,,,,,,,,,,,23,,,,,,
65.8,,,,,,,,,,,,,28,,,,,,
65.9,,,,,,,,,,,,,29,,,,,,
66,,,,,,,,,,,,,22,,,,,,
66.1,,,,,,,,,,,,,20,,,,,,
66.2,,,,,,,,,,,,,20,,,,,,
66.3,,,,,,,,,,,,,22,,,,,,
66.4,,,,,,,,,,,,,25,,,,,,
66.5,,,,,,,,,,,,,22,,,,,,
66.6,,,,,,,,,,,,,23,,,,,,
66.7,,,,,,,,,,,,,26,,,,,,
66.8,,,,,,,,,,,,,19,,,,,,
66.9,,,,,,,,,,,,,19,,,,,,
67,,,,,,,,,,,,,20,,,,,,
67.1,,,,,,,,,,,,,25,,,,,,
67.2,,,,,,,,,,,,,23,,,,,,
67.3,,,,,,,,,,,,,34,,,,,,
67.4,,,,,,,,,,,,,32,,,,,,
67.5,,,,,,,,,,,,,35,,,,,,
67.6,,,,,,,,,,,,,30,,,,,,
67.7,,,,,,,,,,,,,29,,,,,,
67.8,,,,,,,,,,,,,16,,,,,,
67.9,,,,,,,,,,,,,16,,,,,,
68,,,,,,,,,,,,,13,,,,,,
68.1,,,,,,,,,,,,,12,,,,,,
68.2,,,,,,,,,,,,,37,,,,,,
68.3,,,,,,,,,,,,,52,,,,,,
68.4,,,,,,,,,,,,,53,,,,,,
68.5,,,,,,,,,,,,,54,,,,,,
68.6,,,,,,,,,,,,,64,,,,,,
68.7,,,,,,,,,,,,,58,,,,,,
68.8,,,,,,,,,,,,,79,,,,,,
68.9,,,,,,,,,,,,,87,,,,,,
69,,,,,,,,,,,,,95,,,,,,
69.1,,,,,,,,,,,,,89,,,,,,
69.2,,,,,,,,,,,,,107,,,,,,
69.3,,,,,,,,,,,,,110,,,,,,
69.4,,,,,,,,,,,,,115,,,,,,
69.5,,,,,,,,,,,,,106,,,,,,
69.6,,,,,,,,,,,,,97,,,,,,
69.7,,,,,,,,,,,,,90,,,,,,
69.8,,,,,,,,,,,,,77,,,,,,
69.9,,,,,,,,,,,,,59,,,,,,
70,,,,,,,,,,,,,45,,,,,,
70.1,,,,,,,,,,,,,30,,,,,,
70.2,,,,,,,,,,,,,34,,,,,,
70.3,,,,,,,,,,,,,13,,,,,,
70.4,,,,,,,,,,,,,12,,,,,,
70.5,,,,,,,,,,,,,10,,,,,,
70.6,,,,,,,,,,,,,16,,,,,,
70.7,,,,,,,,,,,,,21,,,,,,
70.8,,,,,,,,,,,,,15,,,,,,
70.9,,,,,,,,,,,,,9,,,,,,
